,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,F,GOOGL,MSFT,SPY,AAPL,AMZN,F,GOOGL,MSFT,SPY,AAPL,AMZN,F,GOOGL,MSFT,SPY,AAPL,AMZN,F,GOOGL,MSFT,SPY,AAPL,AMZN,F,GOOGL,MSFT,SPY,AAPL,AMZN,F,GOOGL,MSFT,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-02,0.22576601803302765,0.6937500238418579,11.804216384887695,,13.501276016235352,84.6629867553711,0.265625,0.6937500238418579,24.3125,,21.6875,128.8125,0.2723209857940674,0.800000011920929,24.9375,,22.5,132.15625,0.26004499197006226,0.6812499761581421,23.75,,21.4375,127.5625,0.265625,0.7906249761581421,23.8125,,22.0625,132.0,452312000,184070000,5226500,,82413200,8737500
2001-01-03,0.24853257834911346,0.878125011920929,12.198702812194824,,14.921445846557617,88.72975158691406,0.2924109995365143,0.878125011920929,25.125,,23.96875,135.0,0.297991007566452,0.893750011920929,25.5,,24.4375,136.0,0.2578130066394806,0.6781250238418579,23.875,,21.5625,127.65625,0.2589290142059326,0.6812499761581421,24.5625,,21.59375,128.3125,817073600,293608000,11157800,,135962200,19431600
2001-01-04,0.25896739959716797,0.7749999761581421,13.078707695007324,,15.077075004577637,87.77467346191406,0.3046880066394806,0.7749999761581421,26.9375,,24.21875,133.546875,0.33035698533058167,0.878125011920929,28.0,,25.25,135.46875,0.3002229928970337,0.7718750238418579,25.4375,,23.4375,133.0,0.3239400088787079,0.8500000238418579,28.0,,23.90625,134.9375,739396000,212410000,14896200,,112397000,9219000
2001-01-05,0.24853257834911346,0.7281249761581421,12.744913101196289,,15.291072845458984,84.90946197509766,0.2924109995365143,0.7281249761581421,26.25,,24.5625,129.1875,0.31026801466941833,0.793749988079071,27.0,,24.9375,133.625,0.28683000802993774,0.6781250238418579,25.875,,23.78125,129.1875,0.30245500802993774,0.7749999761581421,27.0,,24.25,133.46875,412356000,175976000,6710900,,93414600,12911400
2001-01-08,0.25137820839881897,0.746874988079071,12.441461563110352,,15.232707977294922,85.56670379638672,0.295758992433548,0.746874988079071,25.625,,24.46875,130.1875,0.30329200625419617,0.778124988079071,26.0,,24.875,130.1875,0.2845979928970337,0.6875,24.9375,,23.34375,127.6875,0.30245500802993774,0.721875011920929,25.4375,,24.46875,129.875,373699200,208894000,5900300,,79817600,6625300
2001-01-09,0.2608644366264343,0.8187500238418579,12.835948944091797,,16.12760353088379,85.34075164794922,0.30691999197006226,0.8187500238418579,26.4375,,25.90625,129.84375,0.31501099467277527,0.831250011920929,26.75,,26.3125,131.5,0.295758992433548,0.7281249761581421,25.5625,,24.875,129.421875,0.3002229928970337,0.7281249761581421,25.75,,25.0,131.046875,588929600,469104000,7254400,,114965400,5702400
2001-01-10,0.25137820839881897,0.824999988079071,12.744913101196289,,16.45833396911621,86.84012603759766,0.295758992433548,0.824999988079071,26.25,,26.4375,132.125,0.3035709857940674,0.8500000238418579,26.5,,26.90625,132.125,0.28683000802993774,0.778124988079071,25.5625,,25.375,128.8125,0.297991007566452,0.7921879887580872,25.625,,25.5,129.0,580781600,220050000,6974400,,90230200,8746100
2001-01-11,0.2731963098049164,0.8500000238418579,13.078707695007324,,17.11977195739746,86.92230987548828,0.3214290142059326,0.8500000238418579,26.9375,,27.5,132.25,0.33035698533058167,0.8656250238418579,27.625,,27.875,133.484375,0.2901790142059326,0.78125,25.9375,,26.15625,131.09375,0.2901790142059326,0.7875000238418579,26.0625,,26.5,131.09375,803734400,255132000,6835600,,101854800,7245100
2001-01-12,0.2608644366264343,0.8843749761581421,12.805603981018066,,16.65287208557129,86.75798797607422,0.30691999197006226,0.8843749761581421,26.375,,26.75,132.0,0.3214290142059326,0.925000011920929,27.0625,,27.5,133.71875,0.3046880066394806,0.856249988079071,25.875,,26.25,131.28125,0.3191959857940674,0.8671879768371582,27.0,,27.4375,132.6875,423376800,168684000,5003000,,73712000,7244000
2001-01-16,0.259915828704834,0.903124988079071,13.169743537902832,,16.361053466796875,87.31254577636719,0.3058040142059326,0.903124988079071,27.125,,26.28125,132.84375,0.32589301466941833,0.918749988079071,27.4375,,26.75,133.1875,0.3035709857940674,0.862500011920929,26.0,,25.5625,131.515625,0.311383992433548,0.9156249761581421,26.375,,26.6875,132.0,306118400,120340000,6242700,,68462400,8542200
